OTUID	Domain	Phylum	Class	Order	Family	Genus	Species
OTU_23025	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Pirellula	Unclassified
OTU_23026	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Aquicella	Unclassified
OTU_23027	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Unclassified	Unclassified
OTU_23028	Bacteria	Actinobacteria	Actinobacteria	Geodermatophilales	Geodermatophilaceae	Blastococcus	Unclassified
OTU_23029	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_23030	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Unclassified	Unclassified	Unclassified
OTU_23031	Bacteria	Chloroflexi	Anaerolineae	Unclassified	Unclassified	Unclassified	Unclassified
OTU_23032	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Unclassified	Unclassified
OTU_23033	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Unclassified	Unclassified	Unclassified
OTU_23034	Bacteria	Acidobacteria	Acidobacteria Gp16	Unclassified	Unclassified	Gp16	Unclassified
OTU_23035	Bacteria	Proteobacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_23036	Bacteria	Proteobacteria	Alphaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
OTU_23037	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Unclassified	Unclassified	Unclassified
OTU_23038	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Gemmataceae	Unclassified	Unclassified
OTU_23039	Bacteria	Verrucomicrobia	Subdivision3	Unclassified	Unclassified	Subdivision3 genera incertae sedis	Unclassified
OTU_23040	Bacteria	Proteobacteria	Alphaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
OTU_23041	Bacteria	candidate division WPS-1	Unclassified	Unclassified	Unclassified	WPS-1 genera incertae sedis	Unclassified
OTU_23042	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Gemmataceae	Unclassified	Unclassified
OTU_23043	Bacteria	Gemmatimonadetes	Longimicrobia	Longimicrobiales	Longimicrobiaceae	Longimicrobium	Unclassified
OTU_23044	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_23045	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Gemmataceae	Zavarzinella	Unclassified
OTU_23046	Archaea	Euryarchaeota	Thermoplasmata	Unclassified	Unclassified	Unclassified	Unclassified
OTU_23047	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto	Unclassified
OTU_23048	Bacteria	Candidatus Saccharibacteria	Unclassified	Unclassified	Unclassified	Saccharibacteria genera incertae sedis	Unclassified
OTU_23049	Bacteria	Candidatus Saccharibacteria	Unclassified	Unclassified	Unclassified	Saccharibacteria genera incertae sedis	Unclassified
OTU_23050	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Belnapia	Unclassified
OTU_23051	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae 1	Unclassified	Unclassified
OTU_23052	Bacteria	Firmicutes	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_23053	Bacteria	Armatimonadetes	Unclassified	Unclassified	Unclassified	Armatimonadetes gp5	Unclassified
OTU_23054	Bacteria	Acidobacteria	Acidobacteria Gp4	Unclassified	Unclassified	Gp4	Unclassified
OTU_23055	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_23056	Bacteria	Candidatus Saccharibacteria	Unclassified	Unclassified	Unclassified	Saccharibacteria genera incertae sedis	Unclassified
OTU_23057	Bacteria	Acidobacteria	Acidobacteria Gp25	Unclassified	Unclassified	Gp25	Unclassified
OTU_23058	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerotignum	Unclassified
